referencia,valor,modo_venda,kg
2007-06,3.356,produtor,1
2007-07,3.39,produtor,1
2007-08,3.565,produtor,1
2007-09,3.674,produtor,1
2007-10,3.633,produtor,1
2007-11,3.466,produtor,1
2007-12,3.628,produtor,1
2008-01,3.721,produtor,1
2008-02,3.904,produtor,1
2008-03,3.781,produtor,1
2008-04,3.617,produtor,1
2008-05,3.623,produtor,1
2008-06,3.634,produtor,1
2008-07,3.558,produtor,1
2008-08,3.499,produtor,1
2008-09,3.59,produtor,1
2008-10,3.48,produtor,1
2008-11,3.39,produtor,1
2008-12,3.415,produtor,1
2009-01,3.508,produtor,1
2009-02,3.545,produtor,1
2009-03,3.478,produtor,1
2009-04,3.403,produtor,1
2009-05,3.484,produtor,1
2009-06,3.474,produtor,1
2009-07,3.42,produtor,1
2009-08,3.457,produtor,1
2009-09,3.39,produtor,1
2009-10,3.397,produtor,1
2009-11,3.419,produtor,1
2009-12,3.537,produtor,1
2010-01,3.55,produtor,1
2010-02,3.52,produtor,1
2010-03,3.5,produtor,1
2010-04,3.5,produtor,1
2010-05,3.52,produtor,1
2010-06,3.64,produtor,1
2010-07,4.06,produtor,1
2010-08,4.17,produtor,1
2010-09,4.21,produtor,1
2010-10,4.12,produtor,1
2010-11,4.28,produtor,1
2010-12,4.37,produtor,1
2011-01,5.11,produtor,1
2011-02,5.75,produtor,1
2011-03,6.47,produtor,1
2011-04,6.77,produtor,1
2011-05,6.92,produtor,1
2011-06,6.62,produtor,1
2011-07,6.59,produtor,1
2011-08,6.57,produtor,1
2011-09,7.26,produtor,1
2011-10,7.13,produtor,1
2011-11,6.98,produtor,1
2011-12,6.92,produtor,1
2012-01,6.85,produtor,1
2012-02,6.77,produtor,1
2012-03,5.76,produtor,1
2012-04,5.57,produtor,1
2012-05,5.684,produtor,1
2012-06,5.428,produtor,1
2012-07,5.978,produtor,1
2012-08,5.801,produtor,1
2012-09,5.673,produtor,1
2012-10,5.564,produtor,1
2012-11,5.123,produtor,1
2012-12,4.841,produtor,1
2013-01,4.931,produtor,1
2013-02,4.68,produtor,1
2013-03,4.465,produtor,1
2013-04,4.455,produtor,1
2013-05,4.378,produtor,1
2013-06,4.198,produtor,1
2013-07,4.231,produtor,1
2013-08,4.178,produtor,1
2013-09,3.911,produtor,1
2013-10,3.558,produtor,1
2013-11,3.101,produtor,1
2013-12,3.269,produtor,1
2014-01,3.905,produtor,1
2014-02,4.907,produtor,1
2014-03,6.265,produtor,1
2014-04,6.238,produtor,1
2014-05,6.132,produtor,1
2014-06,5.627,produtor,1
2014-07,5.749,produtor,1
2014-08,6.315,produtor,1
2014-09,6.386,produtor,1
2014-10,6.993,produtor,1
2014-11,6.449,produtor,1
2014-12,6.404,produtor,1
2015-01,6.371,produtor,1
2015-02,6.304,produtor,1
2015-03,6.139,produtor,1
2015-04,6.278,produtor,1
2015-05,5.922,produtor,1
2015-06,6.082,produtor,1
2015-07,6.074,produtor,1
2015-08,6.205,produtor,1
2015-09,6.208,produtor,1
2015-10,6.472,produtor,1
2015-11,6.293,produtor,1
2015-12,6.318,produtor,1
2016-01,6.593,produtor,1
2016-02,6.721,produtor,1
2016-03,6.515,produtor,1
2016-04,6.529,produtor,1
2016-05,6.388,produtor,1
2016-06,6.561,produtor,1
2016-07,7.055,produtor,1
2016-08,7.063,produtor,1
2016-09,7.362,produtor,1
2016-10,7.477,produtor,1
2016-11,8.052,produtor,1
2016-12,7.858,produtor,1
2017-01,7.675,produtor,1
2017-02,7.806,produtor,1
2017-03,7.347,produtor,1
2017-04,7.054,produtor,1
2017-05,6.954,produtor,1
2017-06,6.697,produtor,1
2017-07,6.884,produtor,1
2017-08,7.022,produtor,1
2017-09,6.836,produtor,1
2017-10,6.865,produtor,1
2017-11,6.869,produtor,1
2017-12,6.893,produtor,1
2018-01,6.863,produtor,1
2018-02,6.784,produtor,1
2018-03,6.569,produtor,1
2018-04,6.366,produtor,1
2018-05,6.624,produtor,1
2018-06,6.81,produtor,1
2018-07,6.61,produtor,1
2018-08,6.387,produtor,1
2018-09,6.302,produtor,1
2018-10,6.419,produtor,1
2018-11,6.641,produtor,1
2018-12,6.328,produtor,1
2019-01,6.215,produtor,1
2019-02,6.301,produtor,1
2019-03,6.169,produtor,1
2019-04,6.04,produtor,1
2019-05,5.561,produtor,1
2019-06,6.269,produtor,1
2019-07,6.495,produtor,1
2019-08,6.341,produtor,1
2019-09,6.441,produtor,1
2019-10,6.357,produtor,1
2019-11,6.634,produtor,1
2019-12,7.334,produtor,1
2020-01,7.064,produtor,1
2020-02,6.942,produtor,1
2020-03,7.855,produtor,1
2020-04,7.956,produtor,1
2020-05,8.125,produtor,1
2020-06,7.149,produtor,1
2020-07,7.202,produtor,1
2020-08,8.216,produtor,1
2020-09,8.116,produtor,1
2020-10,7.822,produtor,1
2020-11,8.032,produtor,1
2020-12,8.225,produtor,1
2021-01,8.934,produtor,1
2021-02,9.608,produtor,1
2021-03,10.328,produtor,1
2021-04,10.538,produtor,1
2021-05,11.367,produtor,1
2021-06,12.212,produtor,1
2021-07,13.054,produtor,1
2021-08,15.284,produtor,1
2021-09,16.764,produtor,1
2021-10,18.043,produtor,1
2021-11,19.289,produtor,1
2021-12,21.334,produtor,1
2022-01,21.654,produtor,1
2022-02,22.281,produtor,1
2022-03,19.72,produtor,1
2022-04,17.971,produtor,1
2022-05,18.142,produtor,1
2022-06,19.175,produtor,1
2022-07,19.557,produtor,1
2022-08,18.047,produtor,1
2022-09,17.781,produtor,1
2022-10,16.548,produtor,1
2022-11,14.09,produtor,1
2022-12,14.069,produtor,1
2023-01,13.996,produtor,1
2023-02,15.542,produtor,1
2023-03,16.17,produtor,1
2023-04,16.085,produtor,1
2023-05,14.728,produtor,1
2023-06,13.334,produtor,1
2023-07,11.093,produtor,1
2023-08,11.27,produtor,1
2023-09,11.111,produtor,1
2023-10,11.264,produtor,1
2023-11,12.443,produtor,1
2023-12,13.448,produtor,1
