referencia,valor,modo_venda,kg
2014-03,43.3796,atacado,50
2014-04,46.2151,atacado,50
2014-05,45.5228,atacado,50
2014-06,45.5604,atacado,50
2014-07,45.3565,atacado,50
2014-08,44.2386,atacado,50
2014-09,43.9137,atacado,50
2014-10,40.6292,atacado,50
2014-11,28.6804,atacado,50
2014-12,30.0831,atacado,50
2015-01,30.0416,atacado,50
2015-02,29.6592,atacado,50
2015-03,31.1231,atacado,50
2015-04,37.3947,atacado,50
2015-05,34.3133,atacado,50
2015-06,36.2686,atacado,50
2015-07,35.3025,atacado,50
2015-08,33.137,atacado,50
2015-09,35.7058,atacado,50
2015-10,34.9823,atacado,50
2015-11,33.2389,atacado,50
2015-12,35.4211,atacado,50
2016-01,37.1261,atacado,50
2016-02,36.3906,atacado,50
2016-03,68.6737,atacado,50
2016-04,76.1353,atacado,50
2016-05,77.5755,atacado,50
2016-06,79.8368,atacado,50
2016-07,77.6255,atacado,50
2016-08,82.9313,atacado,50
2016-09,83.7961,atacado,50
2016-10,80.9798,atacado,50
2016-11,79.2396,atacado,50
2016-12,78.7153,atacado,50
2017-01,74.5958,atacado,50
2017-02,71.0738,atacado,50
2017-03,74.2933,atacado,50
2017-04,73.4223,atacado,50
2017-05,75.947,atacado,50
2017-06,76.9167,atacado,50
2017-07,77.5975,atacado,50
2017-08,73.7547,atacado,50
2017-09,66.3426,atacado,50
2017-10,63.9247,atacado,50
2017-11,66.8602,atacado,50
2017-12,69.654,atacado,50
2018-01,61.9836,atacado,50
2018-02,61.0833,atacado,50
2018-03,65.0918,atacado,50
2018-04,68.8345,atacado,50
2018-05,75.0587,atacado,50
2018-06,87.2735,atacado,50
2018-07,91.4862,atacado,50
2018-08,82.1849,atacado,50
2018-09,81.626,atacado,50
2018-10,83.7466,atacado,50
2018-11,83.2364,atacado,50
2018-12,80.4483,atacado,50
2019-01,87.2019,atacado,50
2019-02,90.5657,atacado,50
2019-03,87.536,atacado,50
2019-04,85.6852,atacado,50
2019-05,84.7892,atacado,50
2019-06,94.4196,atacado,50
2019-07,87.9014,atacado,50
2019-08,88.5002,atacado,50
2019-09,86.504,atacado,50
2019-10,86.9919,atacado,50
2019-11,82.9956,atacado,50
2019-12,87.3023,atacado,50
2020-01,87.6671,atacado,50
2020-02,97.0276,atacado,50
2020-03,98.9096,atacado,50
2020-04,100.7633,atacado,50
2020-05,102.3453,atacado,50
2020-06,109.3226,atacado,50
2020-07,110.8089,atacado,50
2020-08,113.2351,atacado,50
2020-09,113.3723,atacado,50
2020-10,115.3179,atacado,50
2020-11,118.3001,atacado,50
2020-12,118.8828,atacado,50
2021-01,111.4513,atacado,50
2021-02,113.6594,atacado,50
2021-03,118.1044,atacado,50
2021-04,119.9862,atacado,50
2021-05,123.5448,atacado,50
2021-06,123.1689,atacado,50
2021-07,119.8739,atacado,50
2021-08,121.6266,atacado,50
2021-09,123.0473,atacado,50
2021-10,124.591,atacado,50
2021-11,125.8274,atacado,50
2021-12,131.6919,atacado,50
2022-01,132.2315,atacado,50
2022-02,132.9,atacado,50
2022-03,142.37,atacado,50
2022-04,155.87,atacado,50
2022-05,165.31,atacado,50
2022-06,168.69,atacado,50
2022-07,171.3037,atacado,50
2022-08,172.8122,atacado,50
2022-09,174.08,atacado,50
2022-10,172.02,atacado,50
2022-11,164.1254,atacado,50
2022-12,168.0708,atacado,50
2023-01,169.52,atacado,50
2023-02,159.46,atacado,50
2023-03,162.08,atacado,50
2023-04,160.36,atacado,50
2023-05,154.7802,atacado,50
2023-06,146.1318,atacado,50
2023-07,71.2844,atacado,50
2023-08,72.0803,atacado,50
2023-09,73.3404,atacado,50
2023-10,69.2626,atacado,50
2023-11,67.6972,atacado,50
2023-12,69.3344,atacado,50
.68,atacado,50
2024-03,66.2773,atacado,50
2024-04,65.8119,atacado,50
2024-05,60.9371,atacado,50
2024-06,67.854,atacado,50
2024-07,70.8646,atacado,50
2024-08,74.4912,atacado,50
2024-09,73.6645,atacado,50
2024-10,74.1351,atacado,50
2024-11,73.2716,atacado,50
