referencia,ano,mes,valor_pib
2019-08,2019,08,53.32
2019-09,2019,09,53.64
2019-10,2019,10,54.11
2019-11,2019,11,53.78
2019-12,2019,12,54.7
2020-01,2020,01,53.19
2020-02,2020,02,52.55
2020-03,2020,03,50.63
2020-04,2020,04,51.59
2020-05,2020,05,53.72
2020-06,2020,06,56.24
2020-07,2020,07,58.12
2020-08,2020,08,58.66
2020-09,2020,09,59.3
2020-10,2020,10,59.16
2020-11,2020,11,60.59
2020-12,2020,12,61.37
2021-01,2021,01,59.71
2021-02,2021,02,59.51
2021-03,2021,03,58.53
2021-04,2021,04,57.7
2021-05,2021,05,57.53
2021-06,2021,06,58.43
2021-07,2021,07,57.76
2021-08,2021,08,57.18
2021-09,2021,09,56.17
2021-10,2021,10,55.19
2021-11,2021,11,54.97
2021-12,2021,12,55.11
2022-01,2022,01,54.81
2022-02,2022,02,55.44
2022-03,2022,03,56.66
2022-04,2022,04,56.4
2022-05,2022,05,56.91
2022-06,2022,06,56.03
2022-07,2022,07,55.59
2022-08,2022,08,56.05
2022-09,2022,09,56.03
2022-10,2022,10,55.98
2022-11,2022,11,55.82
2022-12,2022,12,56.13
2023-01,2023,01,55.21
2023-02,2023,02,55.7
2023-03,2023,03,55.97
2023-04,2023,04,55.94
2023-05,2023,05,56.66
2023-06,2023,06,57.92
2023-07,2023,07,58.53
2023-08,2023,08,58.92
2023-09,2023,09,59.16
2023-10,2023,10,59.2
2023-11,2023,11,59.49
2023-12,2023,12,60.43
2024-01,2024,01,59.57
2024-02,2024,02,60.35
2024-03,2024,03,60.65
2024-04,2024,04,60.64
2024-05,2024,05,61.35
2024-06,2024,06,61.42
2024-07,2024,07,61.09
2024-08,2024,08,61.32
2024-09,2024,09,61.73
2024-10,2024,10,61.41
2024-11,2024,11,61.16
2024-12,2024,12,61.14
