referencia,ano,mes,valor_pib
1958-09,1958,09,0.000000000000056224
1958-10,1958,10,0.000000000000052279
1958-11,1958,11,0.000000000000050502
1958-12,1958,12,0.000000000000049171
1959-01,1959,01,0.000000000000051633
1959-02,1959,02,0.000000000000050578
1959-03,1959,03,0.000000000000049767
1959-04,1959,04,0.000000000000048655
1959-05,1959,05,0.000000000000047676
1959-06,1959,06,0.000000000000048985
1959-07,1959,07,0.000000000000053149
1959-08,1959,08,0.000000000000054545
1959-09,1959,09,0.000000000000054545
1959-10,1959,10,0.000000000000057476
1959-11,1959,11,0.000000000000063029
1959-12,1959,12,0.000000000000065455
1960-01,1960,01,0.000000000000067004
1960-02,1960,02,0.000000000000066273
1960-03,1960,03,0.000000000000066182
1960-04,1960,04,0.000000000000066182
1960-05,1960,05,0.000000000000066182
1960-06,1960,06,0.000000000000066182
1960-07,1960,07,0.000000000000066182
1960-08,1960,08,0.000000000000066182
1960-09,1960,09,0.000000000000066182
1960-10,1960,10,0.000000000000066182
1960-11,1960,11,0.000000000000066182
1960-12,1960,12,0.000000000000066651
1961-01,1961,01,0.000000000000073302
1961-02,1961,02,0.000000000000078182
1961-03,1961,03,0.000000000000087625
1961-04,1961,04,0.00000000000010023
1961-05,1961,05,0.000000000000095684
1961-06,1961,06,0.000000000000092884
1961-07,1961,07,0.000000000000093091
1961-08,1961,08,0.000000000000095658
1961-09,1961,09,0.00000000000010373
1961-10,1961,10,0.00000000000010745
1961-11,1961,11,0.00000000000010909
1961-12,1961,12,0.00000000000010909
1962-01,1962,01,0.00000000000011273
1962-02,1962,02,0.00000000000011273
1962-03,1962,03,0.00000000000011273
1962-04,1962,04,0.00000000000011273
1962-05,1962,05,0.00000000000011818
1962-06,1962,06,0.00000000000012727
1962-07,1962,07,0.00000000000012982
1962-08,1962,08,0.00000000000013855
1962-09,1962,09,0.00000000000016349
1962-10,1962,10,0.00000000000016727
1962-11,1962,11,0.00000000000016727
1962-12,1962,12,0.00000000000016727
1963-01,1963,01,0.00000000000016727
1963-02,1963,02,0.00000000000016727
1963-03,1963,03,0.00000000000016727
1963-04,1963,04,0.00000000000018182
1963-05,1963,05,0.00000000000021818
1963-06,1963,06,0.00000000000021818
1963-07,1963,07,0.00000000000021818
1963-08,1963,08,0.00000000000021818
1963-09,1963,09,0.00000000000021818
1963-10,1963,10,0.00000000000021818
1963-11,1963,11,0.00000000000021818
1963-12,1963,12,0.00000000000021818
1964-01,1964,01,0.00000000000021818
1964-02,1964,02,0.00000000000041418
1964-03,1964,03,0.00000000000041418
1964-04,1964,04,0.00000000000042182
1964-05,1964,05,0.00000000000042182
1964-06,1964,06,0.00000000000042182
1964-07,1964,07,0.00000000000042182
1964-08,1964,08,0.00000000000043418
1964-09,1964,09,0.00000000000055745
1964-10,1964,10,0.00000000000056364
1964-11,1964,11,0.00000000000056364
1964-12,1964,12,0.00000000000058255
1965-01,1965,01,0.00000000000066364
1965-02,1965,02,0.00000000000066364
